,Web Link,Building,Single,Double,Single_,Double_,2,3,4,5,6,7,8,Time
0,0,1,2,3,4,5,6,7,8,9,10,11,12,
0,Web Link,Building,Single,Double,Single,Double,2,3,4,5,6,7,8,11/04/2023 11:08:40
1,View,47 Claremont,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
2,View,548 West 113,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
3,View,600 West 113,0,0,0,1.5,0,0,0,0,0,0,0,11/04/2023 11:08:40
4,View,627 West 115,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
5,View,Broadway,0,0,0,1,0,0,0,0,0,0,0,11/04/2023 11:08:40
6,View,Carlton,0,0,0,13.5,0,0,0,0,0,0,0,11/04/2023 11:08:40
7,View,East Campus,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
8,View,Harmony,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
9,View,Hartley,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
10,View,Hogan,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
11,View,McBain,0,0,0,54,0,0,0,0,0,0,0,11/04/2023 11:08:40
12,,Plimpton Hall,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
13,View,River,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
14,View,Ruggles,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
15,View,Schapiro,0,0,0,2.5,0,0,0,0,0,0,0,11/04/2023 11:08:40
16,View,Watt,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
17,View,Wien,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
18,View,Woodbridge,0,0,0,0,0,0,0,0,0,0,0,11/04/2023 11:08:40
19,,Totals: 18,0,0,0,72.5,0,0,0,0,0,0,0,11/04/2023 11:08:40
